ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"generativeAI, Natural Language Processing, Machine Learning",Support for clinical documentation and workflow in health and care settings across England.,27/04/2025,,NHS England,england.nhs.uk,NHS England,11/02/2026,Guidance on implementing AI-enabled ambient scribing products that convert speech into structured medical documentation in NHS settings. The guidance includes an overview for executives and detailed implementation guidance for technical leaders.,https://www.england.nhs.uk/publication/guidance-on-the-use-of-ai-enabled-ambient-scribing-products/,live,AI-enabled ambient scribing products,Health AI
"Machine Learning, Large Language Model, generativeAI, Other","Transforming public services, supporting private sectors to adapt and thrive, boosting productivity, creating high-quality jobs, making Welsh language more accessible in everyday life, enabling faster diagnoses in NHS, personalizing learning in schools, automating processes in local government, and addressing regional inequalities.",,,Welsh Government,wales.gov,Office for AI within Welsh Government,13/02/2026,"The document outlines Wales' strategic approach to AI implementation through four pillars: Economic Growth, Educating Wales, Equitable Delivery, and Excellence & Trust.",https://www.gov.wales/ai-plan-for-wales-html,live,AI Cymru,Decision Support
Not AI,Benefits include: deliver services faster by quickly finding information to answer user questions; reduce staff workload by drafting routine responses or code; handle complex tasks like summarizing large amounts of information; make information more accessible by improving readability of web pages and reports; do specialist tasks cheaper like summarizing technical documents or translating texts; streamline and automate service delivery; reduce demand on stretched public services; improve public satisfaction with services.,10/03/2025,,Centre for Digital Public Services Wales,wales.gov,Centre for Digital Public Services,13/02/2026,"The page provides guidance on understanding generative AI for public sector use, covering definition, benefits, and risks. It mentions popular Gen AI tools including: ChatGPT, Claude, Microsoft CoPilot, Google Gemini, Dall-E, and Midjourney. It also warns about risks including reliability issues, bias, privacy concerns, and intellectual property questions.",https://digitalpublicservices.gov.wales/guidance-and-standards/service-manual/using-artificial-intelligence-public-sector/understanding-generative-artificial-intelligence,live,Understanding generative artificial intelligence,Not AI
Not AI,No specific AI benefits described in this conversation as no document has been analyzed.,,,,,,18/02/2026,This appears to be a conversation clarification rather than an actual AI use case. The user noted that no document has been shared or analyzed yet.,Current conversation,planned,No tool discussed,Not AI
"Machine Learning, Other",Implementation of artificial intelligence in cancer treatment at Leeds Teaching Hospitals NHS Trust,15/11/2023,,Leeds Teaching Hospitals NHS Trust,leedsth.nhs.uk,,18/02/2026,Case studies of artificial intelligence applications in cancer treatment at Leeds Teaching Hospitals NHS Trust. The content details how AI is being used to improve cancer diagnostics and treatment pathways.,https://www.leedsth.nhs.uk/about/future/innovation/innovation-pop-up/case-studies-artificial-intelligence-in-cancer-treatment/,live,AI in Cancer Treatment,Health AI
"Machine Learning, Other","Consistent stakeholder engagement with average of 178 newsletter views per month; Programme growth with increased FutureNHS membership by 162; Successfully deployed infrastructure to support around 35 PCNs, with 30 now live; Supplied data for 11 PCNs with fully signed IG agreements; Improved understanding of digital clinical safety across 44 PCNs in the South West; Supported 22 PCNs in completing their Digital Clinical Safety Standard Operating Procedures (SOPs), leading to successful 'clinical go live'.",25/06/2025,,NHS England South West,scwcsu.nhs.uk,"NHS South, Central and West (NHS SCW)",18/02/2026,"The case study describes a successful implementation of Brave AI across multiple Primary Care Networks in the South West region, with 30 PCNs now live. The implementation was supported by NHS SCW through six key workstreams: Digital clinical safety, Hosting and infrastructure, Information Governance, Communications and engagement, Business analysis, and Human-centred design.",https://scwcsu.nhs.uk/case-studies/enabling-proactive-personalised-care-through-ai-multidisciplinary-support-from-nhs-scw,live,Brave AI,Predictive Analytics
"Natural Language Processing, generativeAI, Machine Learning","Reduces administrative time from hours to minutes (e.g., EHCPs from 4-5 hours to under 5 minutes), improves consistency in documentation, releases thousands of officer hours annually, enhances compliance across services, allows staff to progress cases more quickly, and enables officers to spend more time on high-value work with residents rather than paperwork.",27/11/2025,[email protected],Barking and Dagenham Council,local.gov.uk,Continuous Innovation Team,20/02/2026,"AI-powered web app that helps staff turn unstructured meeting transcripts, documents and reports into structured notes and formal plans in minutes. Published on Local Government Association website as a case study.",https://www.local.gov.uk/case-studies/barking-and-dagenham-council-bd-notes-house-developed-ai-app,live,BD Notes,Document Intelligence
Machine Learning,"The AI models can learn intricate patterns and relationships from extensive datasets, enabling them to process more diverse and dynamic data inputs such as real-time sensor data and weather forecasts. This capability enhances flash flood identification in ways not achievable using traditional hydraulic methods. The technology is designed with transparency to help build confidence in the model's predictions, illustrating how different factors influence forecasts.",17/06/2025,[email protected],Northumberland County Council,local.gov.uk,"Northumberland County Council (Project Manager), in partnership with Northumbria University, Arup, Isle Utilities, and the Environment Agency",20/02/2026,"Funding for the project is secured until 2027, and the council is currently investigating alternative funding models to ensure its continuation. The project involves extensive community engagement, with Arup co-creating flood warning messages with local stakeholders to incorporate valuable local knowledge into the prediction system.",https://www.local.gov.uk/case-studies/northumberland-county-council-floodai-using-ai-detect-flash-floods,pilot,FloodAI,Predictive Analytics
Machine Learning,"Frees up consultant time, improves consistency of triage decisions, reduces manual processing time, and allows clinicians to quickly assess urgency levels for patient care.",28/04/2025,,Deloitte,AI in Health and Care Award,Deloitte,23/02/2026,Part of 79 AI solutions being supported by the NHS AI Lab and the Accelerated Access Collaborative,https://digital.nhs.uk/services/ai-knowledge-repository/case-studies/using-ai-to-improve-back-office-efficiency-in-the-nhs,pilot,RITA (Referral and Intelligent Triage Analytics),Health AI
Other,"Benefits related to quality improvement in healthcare settings, specific details not extractable from the provided content",03/12/2025,,East London NHS Foundation Trust,qi.elft.nhs.uk,,23/02/2026,"This document is a PDF titled 'Leveraging artificial intelligence to support the application of quality improvement in healthcare'. The content appears to be an academic paper or report about AI applications in healthcare quality improvement. Due to PDF formatting issues in the provided content, specific details about AI tools, methods, and implementations could not be extracted.",https://qi.elft.nhs.uk/wp-content/uploads/2025/12/Leveraging-artificial-intelligence-to-support-the-application-of-quality-improvement-in-healthcare.pdf,planned,Unspecified AI for Quality Improvement,Health AI
"Machine Learning, Natural Language Processing, Computer Vision, Other","Drive public understanding and trust in their uses of algorithmic tools, including the boundaries of their use and their role in broader processes; Enable senior responsible owners to take meaningful accountability for algorithmic tools and their outputs; Share good practice and innovative use cases, and learn from peers; Reduce administrative burden by proactively publishing information which may otherwise be raised through Freedom of Information (FOI) requests, parliamentary questions or similar; Provide clarity to third party suppliers around the transparency requirements required by the public sector.",08/05/2025,algorithmic-transparency@dsit.gov.uk,Government Digital Service,gov.uk,Government Digital Service,23/02/2026,"This guidance explains what the Algorithmic Transparency Recording Standard (ATRS) is, why it matters and how public sector organisations should use it. It includes section-by-section guidance for completing the ATRS template. The ATRS is mandatory for all government departments, and for ALBs which deliver public or frontline services, or directly interact with the general public.",https://www.gov.uk/government/publications/guidance-for-organisations-using-the-algorithmic-transparency-recording-standard/algorithmic-transparency-recording-standard-guidance-for-public-sector-bodies,live,Algorithmic Transparency Recording Standard,Decision Support
"Large Language Model, generativeAI, Natural Language Processing","Helps people more quickly navigate complex advice, providing straightforward, personalized answers that collate information spread across dozens of pages. Aims to reduce bureaucracy, with UK adults currently spending an estimated 56 hours per year on government-related admin.",05/11/2024,press@dsit.gov.uk,Department for Science Innovation and Technology,gov.uk,"Department for Science, Innovation and Technology",27/02/2026,"The chatbot is being developed by a team of in-house data scientists, developers and designers. Earlier trials showed 70% user satisfaction. Additional safety measures include guardrails to prevent inappropriate responses. The AI Safety Institute (AISI) has been consulted on the work.",https://www.gov.uk/government/news/governments-experimental-ai-chatbot-to-help-people-set-up-small-businesses-and-find-support,pilot,GOV.UK Chat,Conversational AI
"Computer Vision, Machine Learning, Other","Reduces invasive angiogram tests by 16% in cases where no further treatment was needed (7% overall reduction). Cuts second heart tests within two years by 12%. Saved NHS £9.5m (around £390 per patient). Over 24,300 patients have benefited since 2021, with 6,898 patients using it in the last year alone. Provides faster and more accurate diagnosis for coronary heart disease while freeing up NHS capacity.",2021,nhsengland.media@nhs.net,NHS England,england.nhs.uk,NHS England with Health Innovation Networks through MedTech Funding Mandate programme,27/02/2026,The technology is currently available in 56 hospitals across England. It turns CT scans into personalized 3D images analyzed using AI to assess coronary artery blockages. The tool can also suggest the size and position of stents for patients who need them. A nationwide study funded by the Medical Research Council showed the benefits are felt equally by all patients regardless of location.,https://www.england.nhs.uk/2025/05/futuristic-3d-heart-scans-speed-up-diagnosis-and-save-millions/,live,HeartFlow Analysis,Health AI
"Large Language Model, Natural Language Processing","The principal benefit of the tool is a large reduction in the number of records which require manual review. This saves significant staff time which can be better spent on planning public health action. Before using the tool, tens of thousands of records had to be reviewed manually due to records containing different names for countries, misspelling of countries, or sub-country geographies.",25/09/2025,ai@ukhsa.gov.uk,UK Health Security Agency,gov.uk,Advanced Analytics,02/03/2026,"The tool processes GP registration records quarterly and each quarter approximately 10,000 unique records are not matchable by simple automated methods and need the tool. It uses Meta Llama-3.3 and Stability.AI's Stable-Beluga-2 (a Llama-2 variant) to process free-text country of birth data. The LLM system agrees with human manual annotation or outputs 'unknown' (requiring human review) in over 90% of cases.",https://www.gov.uk/algorithmic-transparency-records/uk-heath-security-agency-tb-country-of-birth-support-tool,live,TB Country of Birth support tool,Health AI
"supervised, Natural Language Processing, Machine Learning","Prisons have valid monthly scores for all case notes rather than just a sample, enabling them to monitor Key Work delivery more effectively and make proactive decisions to improve performance. The National OMiC team can use their resources more effectively, with time previously spent on manual scoring now available to support prisons in delivering key work.",25/09/2025,datascience@justice.gov.uk,Ministry of Justice / His Majesty's Prison and Probation Service,gov.uk,National OMiC Team,02/03/2026,"The model processes approximately 80,000 case notes monthly. It uses a pipeline that extracts data from NOMIS, anonymizes personal information through NER, creates text embeddings, and classifies case note quality on a 0-4 scale. The model was trained on 18,233 case notes from May 2022 to September 2023 and is regularly monitored.",https://www.gov.uk/algorithmic-transparency-records/hmpps-key-work-quality-assurance-automation,live,Key Work quality assurance automation,Document Intelligence
Not AI,"AI can provide more accurate information, forecasts, and predictions leading to better outcomes; produce a positive social impact by providing solutions for social problems; simulate complex systems to experiment with policy options; improve public services through personalization; automate simple tasks freeing staff for more complex work.",,,Centre for Digital Public Services Wales,wales.gov,Centre for Digital Public Services,04/03/2026,"This is guidance for understanding and using artificial intelligence in the Welsh public sector, adapted from GOV.UK guidance and supporting the Artificial Intelligence Playbook for the UK Government. It covers AI definitions, machine learning concepts, benefits of AI in public sector, limitations, considerations for implementation, and compliance with data protection laws.",https://digitalpublicservices.gov.wales/guidance-and-standards/service-manual/using-artificial-intelligence-public-sector/understanding-artificial-intelligence,live,Understanding artificial intelligence,Not AI
"Computer Vision, Machine Learning","The service provided by TrustID collects data from people we want to offer a job to. They will confirm their identity documents by comparing them to a real time facial image capture ('selfie') supplied by the subject. This will be done by automated means, facial recognition/matching as opposed to a manual process of attending a face to face interview where documents have to be manually verified. Data subjects have the option of using the digital identity checking service provided by TrustID or they can opt to use a manual checking service.",27/11/2025,enquiries@trustid.co.uk,Housing Ombudsman Service,gov.uk,People Team,09/03/2026,"TrustID performs biometric liveness and facial recognition checks on a live selfie captured by the person being checked, to confirm they are present at the point of capture and that the selfie is of the same person as the photograph in the document submitted for verification. TrustID also confirms that the document is a legitimate valid UK/Irish passport. Verification that the passport is a legitimate document and that the identity matches that of the candidate provides assurance that the individual does indeed have right to work status in the UK.",https://www.gov.uk/algorithmic-transparency-records/trustid,live,TrustID,Vision AI
"Large Language Model, Natural Language Processing","Improved efficiency through quick insights and summarization, reducing time and effort required. Users report two primary benefits: 1) Enhanced productivity in day-to-day tasks like drafting and summarizing documents, and 2) Enabling previously 'impossible' tasks like sifting through massive volumes of information across numerous documents. The tool helps civil servants focus on creative work by freeing them from repetitive administrative tasks.",28/04/2025,redbox-copilot@cabinetoffice.gov.uk,Department for Science Innovation and Technology,gov.uk,Incubator for AI,09/03/2026,"Redbox is an AI assistant for civil servants that provides access to large language models for tasks like document summarization, redrafting content, and processing information. It can handle documents up to OFFICIAL SENSITIVE classification and processes approximately 7,000 documents per month.",https://www.gov.uk/algorithmic-transparency-records/dsit-redbox,pilot,Redbox,Document Intelligence
"Natural Language Processing, Large Language Model, Other","This solution has processed over 360,000 queries so far, and has significantly reduced the workload for ICO staff, who previously had to manually respond to each query. In addition, the AI assistant has improved user experience by allowing individuals to self-serve their queries and avoid the need to contact the ICO directly. The AI assistant has a >85% first time response accuracy.",14/01/2026,casework@ico.org.uk,Information Commissioner's Office,gov.uk,"Digital, Data and Technology (DDaT)",09/03/2026,"The ICO Digital Assistant chatbot uses ICS.AI's proprietary SMART:CHAT software. It offers users three possible journeys: Do I need to pay?, How much do I need to pay?, and Do I need to register a DPO? It's also equipped to answer 27 of the ICO's most frequently asked questions about the data protection fee. If the chatbot is unable to find a pre-loaded answer, it will search the ICO website and return relevant results.",https://www.gov.uk/algorithmic-transparency-records/ico-chatbot,live,ICO Chatbot,Conversational AI
"Large Language Model, Retrieval Augmented Generation, Other","Redbox provides improved efficiency by helping generate quick insights through document summarisation and information retrieval, reducing time and effort required for civil servants to access relevant insights. It enhances accessibility to staff through a user-friendly interface and natural language processing, making complex data sources more accessible to individuals with varying technical backgrounds. It increases knowledge sharing by providing a centralised platform for searching and querying across multiple repositories, promoting collaboration and reducing information silos within DBT.",16/10/2025,redbox@businessandtrade.gov.uk,Department for Business and Trade,gov.uk,AI Enablement Team,09/03/2026,"The tool is currently in a trial phase with approximately 200 people, with around 50 active users per day as of February 2025. It uses Amazon Titan Embed-text-V2 for embeddings and Claude Sonnet 3 from Anthropic for generations.",https://www.gov.uk/algorithmic-transparency-records/dbt-redbox,pilot,DBT: Redbox,Document Intelligence
Not AI,"Helps individuals live independently at home with adaptations and assistive technology. Family members and support networks can monitor data and address issues, enabling individuals to live more fulfilling and independent lives.",2025-02-10,,St Helens Borough Council,sthelens.gov.uk,Adult Social Care,13/03/2026,"Information extracted from St Helens Borough Council webpage about their Technology Enabled Care vision. A TEC Hub Brochure (PDF, 7MB) is available for download on the page with details about available assistive technology devices.",https://www.sthelens.gov.uk/article/12602/Our-Vision-For-Technology-Enabled-Care,live,Technology Enabled Care (TEC) Hub,Other
"Natural Language Processing, Large Language Model","More personal and focused conversations, clearer explanations about care and treatment plans, stronger relationship with the support team, reduced paperwork, improved quality of information collected, clearer and more accurate medical records",,,Hertfordshire Community NHS Trust,hct.nhs.uk,Hertfordshire Community NHS Trust,13/03/2026,"The technology is being trialled at Hertfordshire Community NHS Trust. Verbal consent is required before use, and information is displayed in posters across clinics. The system meets NHS England's standards for ambient voice technology, is GDPR compliant, keeps no audio recordings, and stores written notes only for a short period (up to 30 days). It complies with NHS Digital Technology Assessment Criteria (DTAC), has ISO 27001 certification, Cyber Essentials Plus, exceeds DSPT standards, and has HL7/FHIR compatibility for EPR integration.",https://www.hct.nhs.uk/what-ai-tools-we-are-using-to-improve-the-services-and-care-we-deliver/,pilot,AI Ambient Scribe technology,Document Intelligence
"Natural Language Processing, Large Language Model, hybrid","Increases productivity by up to 25%, allows clinicians to focus more on patients, reduces administrative burden, improves patient experience, makes services more efficient, and supports staff wellbeing",2025-08-22,,Buckinghamshire Healthcare NHS Trust,buckshealthcare.nhs.uk,Buckinghamshire Research and Innovation team,13/03/2026,"The Trust is launching a three-month pilot of ambient AI technology in Rheumatology and Community Paediatrics departments. CLEARnotes listens securely to patient-clinician conversations and automatically creates accurate notes, eliminating the need for manual documentation after appointments. The technology requires patient consent. According to Ryan Kerstein, Associate Medical Director for Research and Innovation, these departments were chosen because they're among the most complex clinics. Feedback from staff and patients will determine potential expansion to other areas of the Trust.",https://www.buckshealthcare.nhs.uk/blog/2025/08/22/new-ai-technology-helps-clinicians-spend-more-time-with-patients/,pilot,CLEARnotes,Document Intelligence
"Machine Learning, unsupervised","The introduction of Splink increases the speed and accuracy of linkage. The availability of linked data has a variety of benefits such as: More reliable research and policy analysis – Analysts can now generate insights based on linked justice system data rather than fragmented datasets, supporting evidence-based decision-making. Reduction in data duplication – By deduplicating records, Splink ensures that justice system statistics and analytics reflect unique individuals rather than multiple records of the same person. Improved operational efficiency – The ability to track individuals across the justice system more accurately supports better resource allocation and case management.",2025-10-06,data_linking_team@justice.gov.uk,Ministry of Justice,gov.uk,Data Linking team,23/03/2026,"Splink is an open-source Python library for probabilistic record linkage used by the Ministry of Justice to link persons between courts, prisons and probation datasets in both batch and real-time deployments.",https://www.gov.uk/algorithmic-transparency-records/moj-splink-master-record,live,Splink,Other
"Machine Learning, Natural Language Processing","VAIS generates search results with a high degree of relevance, which is the biggest driver for using this search engine product to power GOV.UK site search. It enables semantic search: the ability for search engines to 'understand' a user's intent when they search for something, and return relevant results. This enables users of GOV.UK site search to search using natural language queries (queries that reflect the way that people actually speak) and get highly relevant results. It is effective at handling misspellings or synonyms - so users do not need to know exact government terminology to get highly relevant results.",2025-02-10,govuk-site-search@digital.cabinet-office.gov.uk,Department for Science Innovation and Technology,gov.uk,GOV.UK Site Search Team,23/03/2026,GOV.UK site search is powered by Google Vertex AI Search which uses the family of Gecko embedding models based on neural network architecture for semantic search capabilities.,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-site-search,live,GOV.UK site search,Search and Retrieval
"Machine Learning, supervised, hybrid","The model successfully detects two-thirds of long stayers and stratifies risk effectively. It maintained performance accuracy within 1% when tested on unseen data before, during, and after the 2020 COVID waves. The tool has potential to decrease length of hospital stays overall, with corresponding reductions in patient deterioration, mortality during admission, and reduced readmission rates.",,,Gloucestershire Hospitals NHS Foundation Trust,NHS AI Lab Skunkworks,Business Intelligence team at Gloucestershire Hospital (GHFT),23/03/2026,"Long stayers at Gloucestershire Hospitals Trust occupy an average of 278 beds per day, around 4% of all admissions but account for 34% of bed use. These patients have an 11% mortality rate during their hospital stay (compared to 5% of all admissions), and 23% became unwell after being deemed medically fit for discharge (compared to 1% overall).",https://digital.nhs.uk/services/ai-knowledge-repository/case-studies/using-machine-learning-to-identify-patients-at-risk-of-long-term-hospital-stays,pilot,Long Stay Risk Score Algorithm,Predictive Analytics
"Machine Learning, Other",Likely provides risk assessment or treatment optimization for cancer patients who have experienced heart attacks,,,University Hospitals of Leicester NHS Trust,uhleicester.nhs.uk,University Hospitals of Leicester NHS Trust Clinical Team,25/03/2026,"AI tool developed to assist cancer patients who have experienced heart attacks, likely focusing on risk assessment, treatment optimization or personalized care planning",https://www.uhleicester.nhs.uk/news/ai-tool-for-cancer-patients-after-heart-attack/,live,AI Tool for Cancer Patients After Heart Attack,Health AI
"generativeAI, Natural Language Processing, hybrid","Streamlining administrative processes, reducing time spent on documentation, enabling clinicians to focus more on patient interactions, reducing potential for human error in high-volume tasks, improving operational efficiency across clinical and corporate services. Early HR pilots suggest these tools could reduce time spent on administrative tasks by up to half.",2026-03-23,,Manchester University NHS Foundation Trust,mft.nhs.uk,"Technology and Innovation Programme, Manchester University NHS Foundation Trust",27/03/2026,"MFT is expanding AI tools across its workforce in collaboration with Microsoft. This includes Dragon Copilot ambient voice technology for clinicians and Microsoft 365 Copilot licenses (1,500 already deployed with 6,500 additional licenses planned annually for the next three years). The Trust is also establishing an 'Agent Factory' to design and implement AI tools for automating routine operational tasks across services including administration, finance, and information governance. AI agents are already supporting finance teams with forecasting and helping respond to common HR queries.",https://mft.nhs.uk/2026/03/23/one-of-englands-largest-nhs-trusts-is-scaling-ai-capabilities-across-its-workforce-with-microsoft/,live,Microsoft AI Collaboration with MFT,Workflow Automation
"Machine Learning, Computer Vision, Natural Language Processing","Helps diagnose COVID-19 from chest imaging, assists with secondary care dermatology referrals, supports retinal screening, antimicrobial stewardship, and patient triage through symptom checkers.",2023-06-14,,NHS England,england.nhs.uk,NHS England Digital,01/04/2026,"This guidance is part of the Working in a digitally transformed NHS section of the Good practice guidelines for GP electronic patient records. Last updated on 7 April 2025, version 1.2 (28 March 2025).",https://www.england.nhs.uk/long-read/artificial-intelligence-ai-and-machine-learning/,live,Artificial intelligence (AI) and machine learning guidance for NHS,Decision Support
"generativeAI, Computer Vision, Natural Language Processing","Staff productivity, service efficiency, and cost savings are the most commonly cited benefits, though many councils acknowledge it's still too early to quantify the realized benefits. 91% of responding councils reported they are either already using AI or exploring its potential.",2024,jenny.mceneaney@local.gov.uk,Local Government Association,local.gov.uk,"LGA Cyber, Digital, and Technology Policy Team",01/04/2026,"Based on a survey conducted by the LGA in February 2024 with a follow-up in late 2024. The survey had a 23% response rate with 36 councils responding, which was representative of the sector in terms of council type and regional spread.",https://www.local.gov.uk/our-support/cyber-digital-and-technology/cyber-digital-and-technology-policy-team/ai-consultation,live,AI in Local Government,Other
"Computer Vision, Machine Learning","DERM has the potential to free up dermatology capacity and reduce waiting times by effectively triaging patients with skin lesions where there is a suspicion of cancer. It can discharge around 30% of cases from the urgent suspected skin cancer pathway, allowing more people to be seen more quickly and giving them faster diagnoses.",2023,england.digitalinnovation@nhs.net,Skin Analytics,england.nhs.uk,NHS England,06/04/2026,The National Institute for Health and Care Excellence's (NICE) early value assessment conditionally recommends DERM for use in the NHS over a 3-year period while further evidence is generated to confirm its clinical and cost-effectiveness. DERM is an AI-based skin lesion analysis device with a Class III CE mark.,https://www.england.nhs.uk/elective-care/best-practice-solutions/ai-based-skin-lesion-analysis-technology/,pilot,DERM (Deep Ensemble for Recognition of Malignancy),Health AI
"Computer Vision, Machine Learning","The AI technology uses an algorithm to analyse images of breast tissue extracts, helping pathologists detect cancer more quickly. Its high accuracy rate could reduce the need for patients to repeat the biopsy process and free up more time for consultants. It helps prioritise cases, reduce delays in diagnosis, and can order extra tests when needed.",2023-03-07,,Cambridge University Hospitals NHS Foundation Trust,cuh.nhs.uk,Digital pathology team at CUH led by Dr Elena Provenzano and Dr Rebecca Brais,06/04/2026,"The AI technology will be trialled at Cambridge University Hospitals NHS Foundation Trust (CUH), Nottingham University Hospitals, North West Anglia NHS Foundation Trust, Betsi Cadwaladr University Health Board and University Hospitals Birmingham. The project received £1.5 million in government funding as part of a £16 million investment in AI healthcare technologies.",https://www.cuh.nhs.uk/news/speeding-up-breast-cancer-diagnosis-using-ai/,pilot,Galen Breast,Health AI
"Computer Vision, Machine Learning, hybrid","The AI tool analyzes chest X-Rays and CT scans for lung cancer detection, providing results in under a minute. It has helped avoid up to 1,400 CT scans and 1,000 two-week-wait referrals, cutting waiting lists and ensuring faster treatment. It supports over 40,000 X-rays across Greater Manchester trusts monthly.",2025-08-01,,NHS England North West,UK,"Wythenshawe Hospital, Manchester University Hospitals NHS FT",06/04/2026,The article was published on World Lung Cancer Day (1 August 2025) and highlights the success of AI and the NHS Lung Cancer Screening Programme in detecting lung cancer early. The AI tool is designed by medical technology company Annalise.Ai and backed by the government's AI Diagnostic Fund.,https://www.england.nhs.uk/north-west/2025/08/01/artificial-intelligence-and-mobile-screening-services-improving-lung-cancer-care/,live,Annalise.Ai Lung Cancer Detection Tool,Health AI
"Machine Learning, generativeAI, Other","The network aims to get trusted AI tools safely into clinics faster, supporting earlier diagnosis, cutting NHS waiting times, and backing growth in the UK's health tech sector. It will facilitate sharing early warnings on safety, monitoring AI tool performance in practice, and shaping international standards.",2025-06-24,newscentre@mhra.gov.uk,HealthAI The Global Agency for Responsible AI in Health,gov.uk,Medicines and Healthcare products Regulatory Agency (MHRA),10/04/2026,"The UK has become the first country to join the HealthAI Global Regulatory Network as a founding 'pioneer' country. The MHRA will contribute its expertise from initiatives like AI Airlock, a regulatory sandbox for AI medical devices that tests new tools before NHS roll-out.",https://www.gov.uk/government/news/uk-mhra-leads-safe-use-of-ai-in-healthcare-as-first-country-in-new-global-network,live,HealthAI Global Regulatory Network,Health AI
"Machine Learning, supervised","The tool helps predict when A&E departments will be busiest, enabling smarter planning for shifts and bed space, reducing last-minute pressure, spotting potential bottlenecks, and ultimately resulting in shorter waiting times for patients. Hospital managers have praised its impact in supporting better decisions about staffing and capacity, allowing patients to move through the system more efficiently.",2025-12-28,press@dsit.gov.uk,NHS,gov.uk,Department of Health and Social Care,10/04/2026,"The tool is currently available to all NHS trusts in England, with 170 active users across 50 organisations each month. It is available through the NHS Federated Data Platform.",https://www.gov.uk/government/news/faster-treatments-and-support-for-health-workers-as-ai-tackles-ae-bottlenecks,live,A&E demand forecasting tool,Predictive Analytics
Machine Learning,"The PinPoint Test uses artificial intelligence to analyze blood samples and generate a probability that a patient has cancer. It helps clinicians more accurately triage and prioritize patients, identifying those at highest risk to access needed facilities sooner. The test aims to streamline diagnostic capacity, reduce waiting times, improve patient experience, and enhance early detection of cancer. It allows doctors to determine within 72 hours how likely a patient has cancer, enabling them to either prioritize hospital testing or rule patients out of the cancer pathway entirely.",,ccf-tr.admin.cmca@nhs.net,NHS,cmcanceralliance.nhs.uk,Cheshire & Merseyside Cancer Alliance,13/04/2026,"The PinPoint Test is currently being piloted in the NHS, with real-world evaluations run by the West Yorkshire & Harrogate Cancer Alliance. It was initially launched by Mid-Yorks Hospitals Trust and later by Leeds Teaching Hospitals Trust. A pilot is also being established in St Helens. In Cheshire and Merseyside, they are exploring integration into existing laboratory systems but note that at this stage, PinPoint will not be used for decision making.",https://cmcanceralliance.nhs.uk/work/prevention-early-diagnosis/pinpoint-test,pilot,The PinPoint Test,Health AI
"Natural Language Processing, Machine Learning","The NHS Genomic AI Network aims to accelerate patient diagnosis through AI applications in genomics, connecting experts across genomic and AI landscapes to develop nationally led healthcare solutions.",2023,,NHS,Public Sector,NHS Genomic AI Network,15/04/2026,"The NHS Genomic AI Network is working on multiple projects including NLP to identify genomic biomarkers from EHRs, MendelScan for accelerating patient diagnosis, AI for inherited cardiovascular conditions, and development of GenePy. Future events include Clinical AI Interest Group sessions on inherited cardiac conditions (March 2026) and large language models for variant interpretation (January 2026).",https://genomicainetwork.nhs.uk/,pilot,NHS Genomic AI Network,Health AI
"Natural Language Processing, Machine Learning, Other","By analysing large volumes of data across the system, AI can help spot issues earlier, predict future needs, and personalise support. The aim is to provide more proactive, preventative care. Use cases include predicting falls, hospital readmission, mental health crisis, or homelessness for early intervention. Benefits include freeing up staff time, focusing skilled staff on complex cases, improving responsiveness and consistency in decision-making.",2025-06-02,[email protected],Local Government Association,Local Government Association (LGA),Local Government Association - Partners in Care and Health,15/04/2026,"Part of the High Impact Change Model focusing on using data and intelligence for whole system decision support. The model outlines four ambition levels: Foundational, Developing, Established, and Exemplar for implementing AI in local government systems. A case study about preventing falls in Norfolk County Council is referenced but details are not provided in the scraped content.",https://www.local.gov.uk/our-support/partners-care-and-health/better-care-fund-support-programme-2023-25/hicm-data/change-7,planned,High Impact Change Model: AI for System-wide Decision Support,Predictive Analytics
Not AI,Provides guidance on the appropriate use of AI within the healthcare trust,,,Rotherham Doncaster and South Humber NHS Foundation Trust,rdash.nhs.uk,Information Governance,17/04/2026,"This appears to be an AI policy document for the NHS Trust that provides governance guidelines for AI usage, but the actual content is protected by Cloudflare and couldn't be accessed.",https://www.rdash.nhs.uk/policies/artificial-intelligence-ai-policy/,live,AI Policy,Other
Not AI,No AI benefits as this is not an AI system but a privacy notice page that was inaccessible,2023-11-16,,The Rotherham NHS Foundation Trust,therotherhamft.nhs.uk,,17/04/2026,Unable to access the website due to a 403 Error. The CloudFront service is blocking access to this content. The error message indicates there might be too much traffic or a configuration error.,https://www.therotherhamft.nhs.uk/home/privacy-notice,retired,Privacy Notice Page,Not AI
"Natural Language Processing, Large Language Model, Machine Learning","Reduce operating costs associated with appointment management and admin, improve quality of care by using staff time better, increase patient involvement and satisfaction.",2021-07,shona.richards@nhs.net,East London NHS Foundation Trust,NHS,ELFT (East London NHS Foundation Trust),17/04/2026,"Virtual assistant using AI to help connect service users with staff at three ELFT services: The Psychotherapy Department (City and Hackney), Newham Child Development Service and Dunstable Community Mental Health Team.",https://www.trusttalk.elft.nhs.uk/article/introducing-ali-the-virtual-assistant/,live,Ali,Workflow Automation
